fen,move_rank,move
r1q1rbk1/1p3ppp/p7/1N1p4/PPnNn3/2P2P2/6PP/B1RQR1K1 b - - 0 21,3,"{'Move': 'e4g5', 'Centipawn': -355, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p1p4/PPnNn3/2P2P2/6PP/B1RQR1K1 w - - 0 22,1,"{'Move': 'f3e4', 'Centipawn': -373, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p1p4/PPnNn3/2P2P2/6PP/B1RQR1K1 w - - 0 22,2,"{'Move': 'd4b5', 'Centipawn': -480, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p1p4/PPnNn3/2P2P2/6PP/B1RQR1K1 w - - 0 22,3,"{'Move': 'c1c2', 'Centipawn': -491, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p1p4/PPnNP3/2P5/6PP/B1RQR1K1 b - - 0 22,1,"{'Move': 'b5a4', 'Centipawn': -355, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p1p4/PPnNP3/2P5/6PP/B1RQR1K1 b - - 0 22,2,"{'Move': 'd5e4', 'Centipawn': -300, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p1p4/PPnNP3/2P5/6PP/B1RQR1K1 b - - 0 22,3,"{'Move': 'a8a4', 'Centipawn': -291, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p6/PPnNp3/2P5/6PP/B1RQR1K1 w - - 0 23,1,"{'Move': 'a4a5', 'Centipawn': -306, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p6/PPnNp3/2P5/6PP/B1RQR1K1 w - - 0 23,2,"{'Move': 'a4b5', 'Centipawn': -317, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1p6/PPnNp3/2P5/6PP/B1RQR1K1 w - - 0 23,3,"{'Move': 'd4b5', 'Centipawn': -326, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1N6/PPn1p3/2P5/6PP/B1RQR1K1 b - - 0 23,1,"{'Move': 'e4e3', 'Centipawn': -346, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1N6/PPn1p3/2P5/6PP/B1RQR1K1 b - - 0 23,2,"{'Move': 'a8a6', 'Centipawn': -337, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1N6/PPn1p3/2P5/6PP/B1RQR1K1 b - - 0 23,3,"{'Move': 'f8e7', 'Centipawn': -314, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1N6/PPn5/2P1p3/6PP/B1RQR1K1 w - - 0 24,1,"{'Move': 'e1e2', 'Centipawn': -337, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1N6/PPn5/2P1p3/6PP/B1RQR1K1 w - - 0 24,2,"{'Move': 'b5d4', 'Centipawn': -349, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1N6/PPn5/2P1p3/6PP/B1RQR1K1 w - - 0 24,3,"{'Move': 'd1c2', 'Centipawn': -353, 'Mate': None}"
r1q1rbk1/1p3ppp/8/PN6/1Pn5/2P1p3/6PP/B1RQR1K1 b - - 0 24,1,"{'Move': 'a8a6', 'Centipawn': -343, 'Mate': None}"
r1q1rbk1/1p3ppp/8/PN6/1Pn5/2P1p3/6PP/B1RQR1K1 b - - 0 24,2,"{'Move': 'h7h5', 'Centipawn': -329, 'Mate': None}"
r1q1rbk1/1p3ppp/8/PN6/1Pn5/2P1p3/6PP/B1RQR1K1 b - - 0 24,3,"{'Move': 'f8e7', 'Centipawn': -319, 'Mate': None}"
r3rbk1/1p3ppp/8/PN3q2/1Pn5/2P1p3/6PP/B1RQR1K1 w - - 1 25,1,"{'Move': 'b5d4', 'Centipawn': -270, 'Mate': None}"
r3rbk1/1p3ppp/8/PN3q2/1Pn5/2P1p3/6PP/B1RQR1K1 w - - 1 25,2,"{'Move': 'd1a4', 'Centipawn': -459, 'Mate': None}"
r3rbk1/1p3ppp/8/PN3q2/1Pn5/2P1p3/6PP/B1RQR1K1 w - - 1 25,3,"{'Move': 'b5c7', 'Centipawn': -489, 'Mate': None}"
